selections,outcome
scissors,T
paper,L
rock,W
rock,T
paper,T
paper,L
rock,W
rock,L
paper,W
paper,L
paper,L
rock,W
paper,T
scissors,T
paper,L
rock,L
paper,L
paper,W
paper,W
scissors,T
paper,L
scissors,T
paper,L
rock,L
scissors,L
paper,T
paper,L
paper,T
scissors,T
paper,T
scissors,T
scissors,W
rock,W
rock,W
rock,T
paper,L
scissors,W
rock,T
rock,T
paper,L
scissors,T
rock,W
rock,W
rock,W
scissors,L
rock,T
rock,T
scissors,T
paper,L
paper,L
paper,W
rock,L
scissors,T
paper,L
rock,T
paper,L
scissors,L
rock,T
rock,T
paper,L
rock,W
paper,L
scissors,W
paper,L
scissors,T
paper,W
paper,L
rock,L
scissors,W
paper,L
scissors,W
rock,W
paper,L
scissors,T
paper,L
paper,L
paper,L
rock,W
rock,L
rock,L
scissors,T
paper,L
paper,L
rock,W
rock,W
paper,T
rock,W
rock,T
paper,W
rock,W
scissors,T
rock,W
scissors,T
rock,L
rock,W
scissors,T
scissors,W
scissors,T
paper,L
rock,W
scissors,L
scissors,L
rock,T
scissors,T
scissors,T
paper,L
rock,W
scissors,T
rock,W
rock,T
rock,T
paper,T
paper,L
rock,T
rock,W
rock,T
paper,L
scissors,T
scissors,T
scissors,L
scissors,W
rock,L
scissors,T
rock,W
paper,L
paper,L
scissors,T
rock,W
paper,L
scissors,L
scissors,T
scissors,W
scissors,T
rock,L
scissors,W
scissors,T
scissors,W
rock,W
rock,W
rock,L
rock,W
rock,W
scissors,T
scissors,L
paper,L
paper,T
paper,L
rock,L
rock,T
paper,T
scissors,T
scissors,T
paper,W
scissors,W
rock,W
paper,L
paper,L
paper,T
paper,W
scissors,W
rock,L
scissors,T
rock,W
scissors,W
scissors,T
paper,L
rock,W
scissors,L
scissors,W
scissors,T
rock,W
scissors,L
paper,T
scissors,W
scissors,T
scissors,L
rock,W
rock,T
rock,L
scissors,L
paper,L
rock,T
rock,W
paper,L
rock,L
scissors,W
rock,W
paper,T
rock,L
rock,W
rock,L
rock,W
rock,L
scissors,T
paper,W
rock,W
scissors,W
scissors,T
scissors,W
scissors,T
rock,W
scissors,L
rock,W
paper,T
paper,L
scissors,T
paper,L
paper,L
rock,W
scissors,T
paper,T
scissors,L
rock,W
scissors,T
scissors,T
scissors,T
paper,L
scissors,T
scissors,T
scissors,T
rock,W
scissors,W
scissors,L
rock,W
paper,L
scissors,T
rock,W
rock,L
rock,W
paper,L
scissors,L
paper,L
paper,T
rock,W
paper,L
rock,W
paper,L
rock,W
paper,L
paper,T
rock,L
paper,W
rock,L
scissors,L
scissors,T
scissors,T
paper,T
paper,T
paper,L
paper,L
paper,L
paper,T
paper,L
rock,T
scissors,W
paper,L
scissors,T
paper,L
rock,W
rock,T
paper,L
scissors,T
paper,L
scissors,L
scissors,T
scissors,L
paper,L
scissors,T
rock,W
paper,L
scissors,T
scissors,W
paper,T
paper,L
rock,W
paper,L
rock,W
rock,L
rock,W
paper,L
scissors,T
scissors,T
paper,L
scissors,T
scissors,T
scissors,W
rock,W
paper,T
rock,T
paper,W
paper,L
paper,L
scissors,T
scissors,T
scissors,T
paper,L
paper,L
paper,W
paper,L
scissors,T
